"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@ShopeeID A. REALME 6 PRO
Up lagi!!!
<U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618>
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee… https://t.co/hi9quCcwmn",FALSE,0,"MalaSubhan",2020-06-07 06:31:36,TRUE,"1269517315730636801","1269517344683864065","697813792936230912","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MalaSubhan",0,FALSE,FALSE,NA,NA
"#Bologuruji
Rapid Fire
IOS or Android
Oxygen OS or One UI
Gaming Pc or Macbook
PUBG or CallofDuty
Mi Box or apple T… https://t.co/88eThiXbVB",FALSE,0,NA,2020-06-07 06:31:35,TRUE,NA,"1269517343526457344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SoumajitSarka16",0,FALSE,FALSE,NA,NA
"@ShopeeID A. REALME 6 PRO
Up lagi!!!
<U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618>
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee… https://t.co/CUgkuosKsi",FALSE,0,"MalaSubhan",2020-06-07 06:31:29,TRUE,"1269517294247407617","1269517315730636801","697813792936230912","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MalaSubhan",0,FALSE,FALSE,NA,NA
"@ShopeeID A. REALME 6 PRO
Up lagi!!!
<U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618>
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee… https://t.co/uMsvwtw9Ed",FALSE,0,"MalaSubhan",2020-06-07 06:31:24,TRUE,"1269517272797769731","1269517294247407617","697813792936230912","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MalaSubhan",0,FALSE,FALSE,NA,NA
"@ShopeeID A. REALME 6 PRO
Up lagi!!!
<U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618>
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee… https://t.co/dwNvKFJORd",FALSE,0,"MalaSubhan",2020-06-07 06:31:18,TRUE,"1269517252866347008","1269517272797769731","697813792936230912","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MalaSubhan",0,FALSE,FALSE,NA,NA
"@ShopeeID A. REALME 6 PRO
Up lagi!!!
<U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618>
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee… https://t.co/X4pibthxm8",FALSE,0,"MalaSubhan",2020-06-07 06:31:14,TRUE,"1269517234696646657","1269517252866347008","697813792936230912","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MalaSubhan",0,FALSE,FALSE,NA,NA
"@ShopeeID A. REALME 6 PRO
Up lagi!!!
<U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618>
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee… https://t.co/HR41h2zn0C",FALSE,0,"MalaSubhan",2020-06-07 06:31:09,TRUE,"1269517215935545344","1269517234696646657","697813792936230912","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MalaSubhan",0,FALSE,FALSE,NA,NA
"@ShopeeID A. REALME 6 PRO
Up lagi!!!
<U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618>
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee… https://t.co/MEWCHbfqKo",FALSE,0,"MalaSubhan",2020-06-07 06:31:05,TRUE,"1269517194997579776","1269517215935545344","697813792936230912","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MalaSubhan",0,FALSE,FALSE,NA,NA
"@ShopeeID A. REALME 6 PRO
Up lagi!!!
<U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618>
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee… https://t.co/NF2gDu770n",FALSE,0,"MalaSubhan",2020-06-07 06:31:00,TRUE,"1269517174646779904","1269517194997579776","697813792936230912","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MalaSubhan",0,FALSE,FALSE,NA,NA
"@ShopeeID A. REALME 6 PRO
Up lagi!!!
<U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618><U+0001F618>
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee
#AkuPilihShopee… https://t.co/K6vgkS3Ofp",FALSE,0,"MalaSubhan",2020-06-07 06:30:55,TRUE,"1269517153083899911","1269517174646779904","697813792936230912","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MalaSubhan",0,FALSE,FALSE,NA,NA
